,zipcode,rate
0,64148,235.0
1,67118,692.95
2,40813,322.75
3,18229,240.0
4,51012,408.65
5,79168,290.18
6,54923,359.98
7,67651,196.17
8,49448,304.35
9,27702,317.25
10,47387,397.83
11,50014,276.43
12,33608,232.17
13,6239,429.66
14,54919,369.3
15,46706,301.72
16,14846,271.93
17,48872,288.62
18,43343,
19,77052,
20,7734,
21,95327,
22,12961,
23,26716,
24,48435,
25,53181,
26,52654,
27,58703,
28,91945,
29,52146,
30,56097,
31,21777,
32,42330,
33,38849,
34,77586,
35,39745,
36,3299,
37,63359,
38,60094,
39,15935,
40,39845,
41,48418,
42,28411,
43,37333,
44,75939,
45,7184,
46,86313,
47,61232,
48,20047,
49,47452,
50,31551,
